Locality,Cluster Full Name,Cluster Name,Region,Subregion,Grouping,Milestone,Reservoir,Associated
Fountain Valley,CA-SE 16 Orange County Central,Orange County Central,CA,SE,San Diego,M3,,
Fowler,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
Fremont,CA-NC 03 Alameda County South (Fremont),Alameda County South (Fremont),CA,NC,East Bay,M2,,
Fresno,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
Fresno County,CA-NI 04 Fresno,Fresno,CA,NI,Fresno,M3,Reservoir,
Fullerton,CA-SE 21 Orange County North,Orange County North,CA,SE,San Diego,M3,,
Galt,CA-NI 10 Sacramento,Sacramento,CA,NI,Sacramento,M3,Reservoir,Associated
Garden Grove,CA-SE 21 Orange County North,Orange County North,CA,SE,San Diego,M3,,
Gardena,CA-SW 31 South Bay,South Bay,CA,SW,Los Angeles,M2,,
Gilroy,CA-NC 10 Campos de Alianza,Campos de Alianza,CA,NC,Santa Clara County West,M2,,
Glendale,CA-SW 08 Glendale,Glendale,CA,SW,San Gabriel Valley,M2,,
Glendora,CA-SW 10 Claremont,Claremont,CA,SW,San Gabriel Valley,M2,,
Glenn County,CA-NI 16 Chico,Chico,CA,NI,Sacramento,M2,,
Gold River,CA-NI 10 Sacramento,Sacramento,CA,NI,Sacramento,M3,Reservoir,Associated
Goleta,CA-SW 28 Ventura,Ventura,CA,SW,Los Angeles,M2,,
Gonzales,CA-NC 11 Fortaleza de Generosidad,Fortaleza de Generosidad,CA,NC,Santa Clara County West,M1,,
Grand Terrace,CA-SE 06 Riverside,Riverside,CA,SE,San Diego,M2,,
Grass Valley,CA-NI 13 Grass Valley,Grass Valley,CA,NI,Sacramento,M2,,
Greenfield,CA-NC 11 Fortaleza de Generosidad,Fortaleza de Generosidad,CA,NC,Santa Clara County West,M1,,
Greenville Rancheria,CA-NI 16 Chico,Chico,CA,NI,Sacramento,M2,,
Gridley,CA-NI 16 Chico,Chico,CA,NI,Sacramento,M2,,
Grindstone Indian Rancheria,CA-NI 16 Chico,Chico,CA,NI,Sacramento,M2,,
Grover Beach,CA-SW 27 San Luis Obispo County,San Luis Obispo County,CA,SW,Los Angeles,M2,,
Guadalupe,CA-SW 27 San Luis Obispo County,San Luis Obispo County,CA,SW,Los Angeles,M2,,
Guidiville Rancheria,CA-NC 22 Mendocino County,Mendocino County,CA,NC,East Bay,M2,,
Gustine,CA-NI 06 Merced County,Merced County,CA,NI,Fresno,M2,,
Hacienda Heights,CA-SW 10 Claremont,Claremont,CA,SW,San Gabriel Valley,M2,,
Half Moon Bay,CA-NC 09 San Mateo,San Mateo,CA,NC,Santa Clara County West,M2,,
Hanford,CA-NI 02 Exeter-Visalia,Exeter-Visalia,CA,NI,Fresno,M2,,
Hawaiian Gardens,CA-SW 32 Long Beach,Long Beach,CA,SW,Los Angeles,M2,,
